Manufacturer,Bonus
Model,B82/2300
Capacity,2300
Usage,Offshore
HubHeight,"80,90,100"
RotorDiameter,82.4
Power curve,
windspeed(m/s),power(kW)
0,0
2,0
3,0
3.5,0
4,56.2
4.5,102.1
5,148
5.5,218
6,288
6.5,377.9
7,476
7.5,602.5
8,729
8.5,892
9,1055
9.5,1244.9
10,1419
10.5,1594
11,1769
11.5,1905
12,2041
12.5,2122.9
13,2232.5
13.5,2232.5
14,2267
14.5,2279.5
15,2291
15.5,2294.5
16,2298
16.5,2299
17,2300
17.5,2300
18,2300
19,2300
20,2300
21,2300
22,2300
23,2300
24,2300
25,2300
