Manufacturer,Enercon
Model,E-66/1870
Capacity,1800
Usage,Onshore
HubHeight,"65,80,86,98,114"
RotorDiameter,70
Power curve,
windspeed(m/s),power(kW)
1,0
2,3.82
3,15.34
3.49,30.97
4,51.82
4.51,81.12
5,116.76
5.5,161.68
5.99,208.76
6.51,272.96
6.98,338.74
7.5,424.35
7.96,510.11
8.49,628.18
8.98,725.6
9.49,859.77
10.01,991
10.48,1135.17
10.98,1274.96
11.52,1430.52
12,1549.43
12.48,1648.14
12.98,1729.38
13.49,1770.2
14.01,1817.16
14.96,1847.38
15.49,1864.44
15.96,1865.73
18.91,1866.32
23,1800
24,1800
25,1800
