Manufacturer,NEG Micon
Model,NM72C/1500
Capacity,1500
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,0
4.5,0
5,74
5.5,138
6,202
6.5,275.65
7,356
7.5,466
8,576
8.5,692
9,808
9.5,938.43
10,1058
10.5,1171.5
11,1285
11.5,1355.5
12,1426
12.5,1439.04
13,1451
13.5,1467
14,1483
14.5,1491.87
15,1500
15.5,1500
16,1500
16.5,1500
17,1500
17.5,1500
18,1500
18.5,1500
19,1500
19.5,1500
20,1500
20.5,1500
21,1500
21.5,1500
22,1500
22.5,1500
23,1500
23.5,1500
24,1500
24.5,1500
25,1500
