Manufacturer,Nordex
Model,Nordex N 77
Capacity,1500
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,0
3.5,0
4,25
4.5,57.35
5,87
5.5,150.5
6,214
6.5,291.96
7,377
7.5,483
8,589
8.5,722
9,855
9.5,1015.17
10,1162
10.5,1307.5
11,1453
11.5,1476.5
12,1500
12.5,1500
13,1500
13.5,1500
14,1500
14.5,1500
15,1500
15.5,1500
16,1500
16.5,1500
17,1500
17.5,1500
18,1500
18.5,1500
19,1500
19.5,1500
20,1500
20.5,1500
21,1500
21.5,1500
22,1500
22.5,1500
23,1500
24,1500
24.999,0
25.001,0
