Manufacturer,Vensys
Model,Vensys77_1500
Capacity,1500
Usage,Onshore
HubHeight,"61.5,85,100"
RotorDiameter,76.8
Source,https://en.wind-turbine-models.com/turbines/848-vensys-77-1500
Power curve,
windspeed(m/s),power(kW)
2,0
3,18.3
3.5,41.4
4,70.8
4.5,105.6
5,147.7
5.5,199.3
6,262.71
6.5,334.5
7,420.3
7.5,519.6
8,633.7
8.5,758.4
9,892.5
9.5,1032.3
10,1161.5
10.5,1287.6
11,1372.7
11.5,1440
12,1468.3
12.5,1491.8
13,1495.6
13.5,1500
15,1500
16,1500
17,1500
18,1500
19,1500
20,1500
21,1500
22,1500
