geom,Latitude,Longitude,Source,Year,Capacity,depth
POINT (2.89073366853241 51.5909205034472),51.590921,2.890734,DOWT,,,-32.0
POINT (2.89980665290202 51.5951425852826),51.595143,2.899807,DOWT,,,-32.0
POINT (2.89729137010649 51.5863390954982),51.586339,2.897291,DOWT,,,-30.0
POINT (2.9049270500215 51.5815780244924),51.581578,2.904927,DOWT,,,-27.0
POINT (2.9297205518632 51.5683727898158),51.568373,2.929721,DOWT,,,-25.0
POINT (2.93843421011916 51.564060876452),51.564061,2.938434,DOWT,,,-24.0
POINT (2.94112915597152 51.5940646069416),51.594065,2.941129,DOWT,,,-26.0
POINT (2.93115785631779 51.5778051002991),51.577805,2.931158,DOWT,,,-28.0
POINT (2.93906303081804 51.5735830184637),51.573583,2.939063,DOWT,,,-26.0
POINT (2.94687837378988 51.5694507681568),51.569451,2.946878,DOWT,,,-24.0
POINT (2.92352217640278 51.5823865082481),51.582387,2.923522,DOWT,,,-27.0
POINT (2.92729510059608 51.5908306719188),51.590831,2.927295,DOWT,,,-25.0
POINT (2.916155991073 51.586518758555),51.586519,2.916156,DOWT,,,-26.0
POINT (2.94822584671606 51.57888307864),51.578883,2.948226,DOWT,,,-27.0
POINT (2.94930382505701 51.5890340413506),51.589034,2.949304,DOWT,,,-30.0
POINT (2.92100689360724 51.5723253770659),51.572325,2.921007,DOWT,,,-27.0
POINT (2.92127638819248 51.5948730906973),51.594873,2.921276,DOWT,,,-27.0
POINT (2.91346104522064 51.5770864480718),51.577086,2.913461,DOWT,,,-26.0
POINT (2.9672701307394 51.5894831989926),51.589483,2.96727,DOWT,,,-28.0
POINT (2.97526513676806 51.5852611171573),51.585261,2.975265,DOWT,,,-25.0
POINT (2.98730256157526 51.5887645467653),51.588765,2.987303,DOWT,,,-25.0
POINT (2.96466501641545 51.5803203830946),51.58032,2.964665,DOWT,,,-24.0
POINT (2.98038553388754 51.5927171340155),51.592717,2.980386,DOWT,,,-28.0
POINT (2.99439925231981 51.5954120798678),51.595412,2.994399,DOWT,,,-25.0
POINT (2.90771182740227 51.5908306719188),51.590831,2.907712,DOWT,,,-29.0
POINT (2.95505304287537 51.5748406598615),51.574841,2.955053,DOWT,,,-24.0
POINT (3.00095695389388 51.5915493241461),51.591549,3.000957,DOWT,,,-25.0
POINT (2.93582909579521 51.607449504675),51.60745,2.935829,DOWT,,,-30.0
POINT (2.93367313911333 51.5985561833622),51.598556,2.933673,DOWT,,,-28.0
POINT (2.92486964932896 51.6031375913112),51.603138,2.92487,DOWT,,,-30.0
POINT (2.94562073239212 51.6131987224934),51.613199,2.945621,DOWT,,,-29.0
POINT (2.95145978173889 51.5985561833622),51.598556,2.95146,DOWT,,,-28.0
POINT (2.91346104522064 51.5985561833622),51.598556,2.913461,DOWT,,,-30.0
POINT (2.95271742313666 51.6096952928853),51.609695,2.952717,DOWT,,,-30.0
POINT (2.96870743519399 51.6109529342831),51.610953,2.968707,DOWT,,,-28.0
POINT (2.98694323546162 51.5989155094759),51.598916,2.986943,DOWT,,,-29.0
POINT (2.97355833772823 51.5977476996065),51.597748,2.973558,DOWT,,,-32.0
POINT (2.97499564218282 51.607000347033),51.607,2.974996,DOWT,,,-31.0
POINT (2.96161074444945 51.6140970377775),51.614097,2.961611,DOWT,,,-30.0
POINT (2.9552327059322 51.618139456556),51.618139,2.955233,DOWT,,,-31.0
POINT (2.95684967344361 51.5847221279868),51.584722,2.95685,DOWT,,,-29.0
