,year,base_capacity,base_capacity_unit,base_rotor_diam,base_rotor_diam_unit,base_hub_height,base_hub_height_unit,min_tip_height,min_tip_height_unit,max_hub_height,max_hub_height_unit,min_specific_power,min_specific_power_unit,reference_wind_speed,reference_wind_speed_unit,reference_wind_speed_hubheight,reference_wind_speed_hubheight_unit,reference_wind_speed_specpow,reference_wind_speed_specpow_unit,base_capex_per_capacity,base_capex_per_capacity_unit,tcc_share,tcc_share_unit,bos_share,bos_share_unit,gdp_escalator,gdp_escalator_unit,blade_material_escalator,blade_material_escalator_unit,blades,blades_unit,remarks
0,2005,2476.151290888083,kW,81.75605130387703,m,75.87802565193851,m,21.218421052631577,m,115.92611438516812,m,252.29018887894088,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
1,2006,2511.214872356504,kW,84.70510973670753,m,77.35255486835376,m,21.218421052631577,m,117.49874254736179,m,238.35686056096532,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
2,2007,2546.2784538249252,kW,87.883529538929,m,78.9417647694645,m,21.218421052631577,m,119.19368098486507,m,224.51942162416924,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
3,2008,2581.3420352933463,kW,91.29131071059965,m,80.64565535529982,m,21.218421052631577,m,121.01092969770895,m,210.93549643085484,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
4,2009,2616.4056167617673,kW,94.92845325166127,m,82.46422662583063,m,21.218421052631577,m,122.95048868586241,m,197.73122834351994,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
5,2010,2698.3978058269713,kW,98.79495716228848,m,84.39747858114424,m,21.218421052631577,m,125.01235794941857,m,188.27793277204518,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
6,2011,2827.3186024744064,kW,102.89082244230667,m,86.44541122115334,m,21.218421052631577,m,127.19653748828435,m,181.87980251266814,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
7,2012,3003.1680067186244,kW,107.21604909171583,m,88.60802454585792,m,21.218421052631577,m,129.50302730245969,m,177.91928741848704,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
8,2013,3225.9460185596254,kW,111.77063711069059,m,90.8853185553453,m,21.218421052631577,m,131.93182739203775,m,175.85901794627662,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
9,2014,3495.6526379828574,kW,116.55458649917273,m,93.27729324958636,m,21.218421052631577,m,134.48293775698744,m,175.23971378417028,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
10,2015,3812.2878650174243,kW,121.56789725692943,m,95.78394862846471,m,21.218421052631577,m,137.15635839718468,m,175.6753703418213,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
11,2016,4175.851699634222,kW,126.81056938425172,m,98.40528469212586,m,21.218421052631577,m,139.95208931278458,m,176.84678235703387,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
12,2017,4586.344141833251,kW,132.2826028810814,m,101.1413014405407,m,21.218421052631577,m,142.87013050375617,m,178.49422789414635,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
13,2018,5043.765191643615,kW,137.98399774724385,m,103.99199887362192,m,21.218421052631577,m,145.9104819700063,m,180.4099200518858,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
14,2019,5548.11484903621,kW,143.9147539829719,m,106.95737699148594,m,21.218421052631577,m,149.07314371165913,m,182.43064941246485,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
15,2020,6099.393114025588,kW,150.0748715881491,m,110.03743579407455,m,21.218421052631577,m,152.3581157286526,m,184.43089126586707,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
16,2021,6697.599986640853,kW,156.4643505626591,m,113.23217528132955,m,21.218421052631577,m,155.76539802092458,m,186.31653671080133,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
17,2022,7342.735466809245,kW,163.08319090673467,m,116.54159545336734,m,21.218421052631577,m,159.2949905885993,m,188.0193220725605,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
18,2023,8034.79955457442,kW,169.93139262025943,m,119.96569631012972,m,21.218421052631577,m,162.94689343161463,m,189.49197157615225,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
19,2024,8773.792249936378,kW,177.00895570329158,m,123.50447785164579,m,21.218421052631577,m,166.72110655000162,m,190.70402866312438,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
20,2025,9559.713552880567,kW,184.31588015559828,m,127.15794007779914,m,21.218421052631577,m,170.61762994363613,m,191.63832711307413,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
21,2026,10392.563463421538,kW,191.85216597752878,m,130.9260829887644,m,21.218421052631577,m,174.63646361270435,m,192.2880399840171,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
22,2027,11272.341981559293,kW,199.61781316890847,m,134.80890658445423,m,21.218421052631577,m,178.77760755711324,m,192.65423913858214,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
23,2028,12199.049107293831,kW,207.61282172962092,m,138.80641086481046,m,21.218421052631577,m,183.04106177680063,m,192.7438981192172,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
24,2029,13172.6848406106,kW,215.83719165989896,m,142.91859582994948,m,21.218421052631577,m,187.42682627189077,m,192.56827447840087,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
25,2030,14193.249181538704,kW,224.2909229596844,m,147.1454614798422,m,21.218421052631577,m,191.93490104235252,m,192.14161292512728,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
26,2031,15260.742130034487,kW,232.97401562874438,m,151.4870078143722,m,21.218421052631577,m,196.56528608806184,m,191.48011682513288,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
27,2032,16375.163686141605,kW,241.88646966742817,m,155.9432348337141,m,21.218421052631577,m,201.31798140920483,m,190.6011420552467,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
28,2033,17536.513849830953,kW,251.02828507550294,m,160.51414253775147,m,21.218421052631577,m,206.19298700565747,m,189.52257348550478,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
29,2034,18744.792621117085,kW,260.39946185296867,m,165.19973092648434,m,21.218421052631577,m,211.1903028774197,m,188.26235023221665,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
30,2035,20000.0,kW,270.0,m,170.0,m,21.218421052631577,m,216.30992902458456,m,186.8381111311421,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
31,2036,21302.135986465146,kW,279.8298995164805,m,174.91494975824025,m,21.218421052631577,m,221.5518654470901,m,185.26693658145703,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
32,2037,22651.200580541627,kW,289.8891604022938,m,179.9445802011469,m,21.218421052631577,m,226.9161121448742,m,183.5651669948029,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
33,2038,24047.193782185786,kW,300.17778265773086,m,185.08889132886543,m,21.218421052631577,m,232.40266911809198,m,181.74828159194584,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
34,2039,25490.115591470385,kW,310.6957662825589,m,190.34788314127945,m,21.218421052631577,m,238.0115363666194,m,179.83082427171212,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
35,2040,26979.96600830811,kW,321.44311127689434,m,195.72155563844717,m,21.218421052631577,m,243.74271389051847,m,177.82636576164074,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
36,2041,28516.74503274262,kW,332.41981764050433,m,201.20990882025217,m,21.218421052631577,m,249.596201689665,m,175.74749336691394,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
37,2042,30100.45266477391,kW,343.62588537373813,m,206.81294268686906,m,21.218421052631577,m,255.57199976424533,m,173.60582133640168,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
38,2043,31731.088904401986,kW,355.0613144764211,m,212.53065723821055,m,21.218421052631577,m,261.6701081141663,m,171.41201630529147,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
39,2044,33408.65375161229,kW,366.72610494843684,m,218.36305247421842,m,21.218421052631577,m,267.8905267393658,m,169.17583342005517,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
40,2045,35133.14720641938,kW,378.6202567900764,m,224.3101283950382,m,21.218421052631577,m,274.233255639999,m,166.90615970573296,W/m2,,m/s,7.72,m/s,8.29,m/s,1100,EUR/kW,0.673,-,0.229,-,1.0,-,1.0,-,3,-,
