Manufacturer,Nordex
Model,N90_2500
Capacity,2500
Usage,Onshore
HubHeight,"70,75,80,100,120"
RotorDiameter,90
Power curve,
windspeed(m/s),power(kW)
2,0
3,1
3.5,37
4,84
4.5,142
5,212
5.5,294
6,391
6.5,504
7,635
7.5,785
8,951
8.5,1131
9,1321
9.5,1520
10,1722
10.5,1924
11,2122
11.5,2280
12,2389
12.5,2459
13,2495
13.5,2500
14,2500
14.5,2500
15,2500
15.5,2500
16,2500
16.5,2500
17,2500
17.5,2500
18,2500
18.5,2500
19,2500
19.5,2500
20,2500
20.5,2500
21,2500
21.5,2500
22,2500
22.5,2500
23,2500
24,2500
25,2500
