Manufacturer,Vensys
Model,121_Vensys
Capacity,2500
Usage,Onshore
HubHeight,"90, 90"
Source,World Wind Farm 2023
RotorDiameter,121.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,13
3.5,35
4.0,82
4.5,155
5.0,268
5.5,445
6.0,634
6.5,865
7.0,1100
7.5,1340
8.0,1584
8.5,1828
9.0,2068
9.5,2255
10.0,2404
10.5,2475
11.0,2500
11.5,2500
12.0,2500
12.5,2500
13.0,2500
13.5,2500
14.0,2500
14.5,2500
15.0,2500
15.5,2500
16.0,2500
16.5,2500
17.0,2500
17.5,2500
18.0,2500
18.5,2500
19.0,2500
19.5,2500
20.0,2500
20.5,2500
21.0,2500
21.5,2500
22.0,2500
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
