Manufacturer,e.n.o. energy
Model,126_4.0_MW_e.n.o._energy
Capacity,4000
Usage,Onshore
HubHeight,"97, 162"
Source,World Wind Farm 2023
RotorDiameter,126.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,84
4.5,212
5.0,346
5.5,488
6.0,633
6.5,788
7.0,945
7.5,1145
8.0,1350
8.5,1582
9.0,1833
9.5,2140
10.0,2473
10.5,2835
11.0,3215
11.5,3525
12.0,3739
12.5,3873
13.0,3949
13.5,4000
14.0,4000
14.5,4000
15.0,4000
15.5,4000
16.0,4000
16.5,4000
17.0,4000
17.5,4000
18.0,4000
18.5,4000
19.0,4000
19.5,4000
20.0,4000
20.5,4000
21.0,4000
21.5,4000
22.0,4000
22.5,4000
23.0,4000
23.5,4000
24.0,4000
24.5,4000
25.0,4000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
