Manufacturer,Danwin
Model,23-180_Danwin
Capacity,180
Usage,Onshore
HubHeight,"25, 30"
Source,World Wind Farm 2023
RotorDiameter,23.2
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,1
4.0,2
4.5,4
5.0,7
5.5,12
6.0,18
6.5,23
7.0,29
7.5,38
8.0,48
8.5,60
9.0,73
9.5,88
10.0,103
10.5,120
11.0,137
11.5,149
12.0,159
12.5,168
13.0,175
13.5,178
14.0,181
14.5,182
15.0,183
15.5,182
16.0,181
16.5,178
17.0,174
17.5,170
18.0,165
18.5,162
19.0,159
19.5,157
20.0,155
20.5,154
21.0,153
21.5,152
22.0,152
22.5,152
23.0,152
23.5,151
24.0,151
24.5,152
25.0,153
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
