Manufacturer,Senvion
Model,6.3M152_Senvion
Capacity,6300
Usage,Offshore
HubHeight,"97, 124"
Source,World Wind Farm 2023
RotorDiameter,152.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,70
4.0,151
4.5,290
5.0,434
5.5,697
6.0,963
6.5,1353
7.0,1743
7.5,2286
8.0,2828
8.5,3422
9.0,4010
9.5,4550
10.0,5076
10.5,5600
11.0,6090
11.5,6250
12.0,6300
12.5,6300
13.0,6300
13.5,6300
14.0,6300
14.5,6300
15.0,6300
15.5,6300
16.0,6300
16.5,6300
17.0,6300
17.5,6300
18.0,6300
18.5,6300
19.0,6300
19.5,6300
20.0,6300
20.5,6300
21.0,6300
21.5,6300
22.0,6300
22.5,6300
23.0,6300
23.5,6300
24.0,6300
24.5,6300
25.0,6300
25.5,6300
26.0,6300
26.5,6300
27.0,6300
27.5,6300
28.0,6300
28.5,6300
29.0,6300
29.5,6300
30.0,6300
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
