Manufacturer,PowerWind
Model,60_PowerWind
Capacity,850
Usage,Onshore
HubHeight,"70, 70"
Source,World Wind Farm 2023
RotorDiameter,60.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,3
3.5,12
4.0,26
4.5,45
5.0,67
5.5,97
6.0,128
6.5,171
7.0,214
7.5,272
8.0,329
8.5,402
9.0,473
9.5,568
10.0,658
10.5,755
11.0,850
11.5,850
12.0,850
12.5,850
13.0,850
13.5,850
14.0,850
14.5,850
15.0,850
15.5,850
16.0,850
16.5,850
17.0,850
17.5,850
18.0,850
18.5,850
19.0,850
19.5,850
20.0,850
20.5,850
21.0,850
21.5,850
22.0,850
22.5,850
23.0,850
23.5,850
24.0,850
24.5,850
25.0,850
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
