Manufacturer,Garuda
Model,700.54_Garuda
Capacity,700
Usage,Onshore
HubHeight,"73, 73"
Source,World Wind Farm 2023
RotorDiameter,54.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,16
4.0,34
4.5,53
5.0,73
5.5,101
6.0,131
6.5,172
7.0,212
7.5,258
8.0,303
8.5,360
9.0,416
9.5,477
10.0,535
10.5,592
11.0,640
11.5,675
12.0,692
12.5,700
13.0,700
13.5,700
14.0,700
14.5,700
15.0,700
15.5,700
16.0,700
16.5,700
17.0,700
17.5,700
18.0,700
18.5,700
19.0,700
19.5,700
20.0,700
20.5,700
21.0,700
21.5,700
22.0,700
22.5,700
23.0,700
23.5,700
24.0,700
24.5,700
25.0,700
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
