Manufacturer,Enron
Model,900s_Enron
Capacity,900
Usage,Onshore
HubHeight,"60, 60"
Source,World Wind Farm 2023
RotorDiameter,54.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,8
4.0,19
4.5,34
5.0,55
5.5,80
6.0,110
6.5,145
7.0,184
7.5,234
8.0,283
8.5,346
9.0,409
9.5,493
10.0,577
10.5,658
11.0,739
11.5,808
12.0,851
12.5,880
13.0,892
13.5,897
14.0,899
14.5,900
15.0,900
15.5,900
16.0,900
16.5,900
17.0,900
17.5,900
18.0,900
18.5,900
19.0,900
19.5,900
20.0,900
20.5,900
21.0,900
21.5,900
22.0,900
22.5,900
23.0,900
23.5,900
24.0,900
24.5,900
25.0,900
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
