Manufacturer,ADES
Model,ADES_200_ADES
Capacity,200
Usage,Onshore
HubHeight,"31, 40"
Source,World Wind Farm 2023
RotorDiameter,36.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,12
4.5,16
5.0,22
5.5,31
6.0,41
6.5,54
7.0,68
7.5,85
8.0,104
8.5,125
9.0,146
9.5,171
10.0,195
10.5,200
11.0,200
11.5,200
12.0,200
12.5,200
13.0,200
13.5,200
14.0,200
14.5,200
15.0,200
15.5,200
16.0,200
16.5,200
17.0,200
17.5,200
18.0,200
18.5,200
19.0,200
19.5,200
20.0,200
20.5,200
21.0,200
21.5,200
22.0,200
22.5,200
23.0,200
23.5,200
24.0,200
24.5,200
25.0,200
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
