Manufacturer,Made
Model,AE-56_Made
Capacity,800
Usage,Onshore
HubHeight,"50, 60"
Source,World Wind Farm 2023
RotorDiameter,56.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,8
3.0,16
3.5,30
4.0,45
4.5,67
5.0,89
5.5,123
6.0,157
6.5,194
7.0,230
7.5,276
8.0,322
8.5,381
9.0,450
9.5,521
10.0,602
10.5,678
11.0,755
11.5,790
12.0,800
12.5,800
13.0,800
13.5,800
14.0,800
14.5,800
15.0,800
15.5,800
16.0,800
16.5,800
17.0,800
17.5,800
18.0,800
18.5,800
19.0,800
19.5,800
20.0,800
20.5,800
21.0,800
21.5,800
22.0,800
22.5,800
23.0,800
23.5,800
24.0,800
24.5,800
25.0,800
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
