Manufacturer,Bonus
Model,B76-2000_Bonus
Capacity,2000
Usage,Offshore
HubHeight,"60, 98"
Source,World Wind Farm 2023
RotorDiameter,76.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,21
4.0,47
4.5,88
5.0,133
5.5,183
6.0,237
6.5,319
7.0,401
7.5,512
8.0,623
8.5,755
9.0,886
9.5,1038
10.0,1190
10.5,1346
11.0,1502
11.5,1621
12.0,1740
12.5,1825
13.0,1891
13.5,1940
14.0,1962
14.5,1982
15.0,1988
15.5,1994
16.0,1996
16.5,1998
17.0,1999
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
