Manufacturer,C&F Green Energy
Model,CF_100_C&F_Green_Energy
Capacity,100
Usage,Onshore
HubHeight,"30, 37"
Source,World Wind Farm 2023
RotorDiameter,25.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,2
3.0,3
3.5,4
4.0,6
4.5,9
5.0,14
5.5,18
6.0,24
6.5,30
7.0,38
7.5,47
8.0,57
8.5,68
9.0,81
9.5,100
10.0,100
10.5,100
11.0,100
11.5,100
12.0,100
12.5,100
13.0,100
13.5,100
14.0,100
14.5,100
15.0,100
15.5,100
16.0,100
16.5,100
17.0,100
17.5,100
18.0,100
18.5,100
19.0,100
19.5,100
20.0,100
20.5,100
21.0,100
21.5,100
22.0,100
22.5,100
23.0,100
23.5,100
24.0,100
24.5,100
25.0,100
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
