Manufacturer,DWP
Model,D110-19_DWP
Capacity,110
Usage,Onshore
HubHeight,"24, 24"
Source,World Wind Farm 2023
RotorDiameter,19.2
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,2
4.5,5
5.0,8
5.5,13
6.0,18
6.5,24
7.0,30
7.5,37
8.0,44
8.5,51
9.0,58
9.5,65
10.0,73
10.5,81
11.0,89
11.5,95
12.0,100
12.5,103
13.0,106
13.5,107
14.0,108
14.5,109
15.0,110
15.5,111
16.0,112
16.5,113
17.0,113
17.5,112
18.0,112
18.5,111
19.0,111
19.5,110
20.0,109
20.5,107
21.0,106
21.5,105
22.0,105
22.5,105
23.0,105
23.5,106
24.0,106
24.5,106
25.0,106
25.5,107
26.0,107
26.5,108
27.0,108
27.5,109
28.0,109
28.5,110
29.0,110
29.5,111
30.0,111
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
