Manufacturer,Enercon
Model,E112-4500_Enercon
Capacity,4500
Usage,Offshore
HubHeight,"120, 120"
Source,World Wind Farm 2023
RotorDiameter,114.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,18
3.0,38
3.5,80
4.0,135
4.5,210
5.0,301
5.5,425
6.0,561
6.5,742
7.0,933
7.5,1163
8.0,1393
8.5,1688
9.0,1983
9.5,2352
10.0,2720
10.5,3131
11.0,3540
11.5,3910
12.0,4180
12.5,4380
13.0,4450
13.5,4495
14.0,4500
14.5,4500
15.0,4500
15.5,4500
16.0,4500
16.5,4500
17.0,4500
17.5,4500
18.0,4500
18.5,4500
19.0,4500
19.5,4500
20.0,4500
20.5,4500
21.0,4500
21.5,4500
22.0,4500
22.5,4500
23.0,4500
23.5,4500
24.0,4500
24.5,4500
25.0,4500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
