Manufacturer,Wobben
Model,E126-7580_Wobben
Capacity,7580
Usage,Onshore
HubHeight,"135, 135"
Source,World Wind Farm 2023
RotorDiameter,127.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,25
3.0,55
3.5,110
4.0,175
4.5,293
5.0,410
5.5,585
6.0,760
6.5,1005
7.0,1250
7.5,1575
8.0,1900
8.5,2300
9.0,2700
9.5,3240
10.0,3750
10.5,4310
11.0,4850
11.5,5310
12.0,5750
12.5,6135
13.0,6500
13.5,6770
14.0,7000
14.5,7195
15.0,7350
15.5,7440
16.0,7500
16.5,7550
17.0,7580
17.5,7580
18.0,7580
18.5,7580
19.0,7580
19.5,7580
20.0,7580
20.5,7580
21.0,7580
21.5,7580
22.0,7580
22.5,7580
23.0,7580
23.5,7580
24.0,7580
24.5,7580
25.0,7580
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
