Manufacturer,Fuhrländer
Model,FL_1500-77_Fuhrländer
Capacity,1500
Usage,Onshore
HubHeight,"61.5, 111.5"
Source,World Wind Farm 2023
RotorDiameter,77.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,11
3.0,23
3.5,36
4.0,60
4.5,97
5.0,145
5.5,197
6.0,249
6.5,320
7.0,405
7.5,503
8.0,625
8.5,789
9.0,940
9.5,1060
10.0,1240
10.5,1360
11.0,1465
11.5,1496
12.0,1500
12.5,1500
13.0,1500
13.5,1500
14.0,1500
14.5,1500
15.0,1500
15.5,1500
16.0,1500
16.5,1500
17.0,1500
17.5,1500
18.0,1500
18.5,1500
19.0,1500
19.5,1500
20.0,1500
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
