Manufacturer,Innovative Windpower
Model,Falcon_1.25_MW-70_Innovative_Windpower
Capacity,1250
Usage,Onshore
HubHeight,"60, 100"
Source,World Wind Farm 2023
RotorDiameter,70.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,2
2.0,5
2.5,16
3.0,28
3.5,48
4.0,72
4.5,109
5.0,150
5.5,203
6.0,257
6.5,334
7.0,413
7.5,523
8.0,632
8.5,752
9.0,871
9.5,988
10.0,1094
10.5,1165
11.0,1210
11.5,1235
12.0,1250
12.5,1250
13.0,1250
13.5,1250
14.0,1250
14.5,1250
15.0,1250
15.5,1250
16.0,1250
16.5,1250
17.0,1250
17.5,1250
18.0,1250
18.5,1250
19.0,1250
19.5,1250
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
