Manufacturer,Gamesa
Model,G52-850_Gamesa
Capacity,850
Usage,Onshore
HubHeight,"44, 65"
Source,World Wind Farm 2023
RotorDiameter,52.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,28
4.5,47
5.0,65
5.5,94
6.0,123
6.5,163
7.0,203
7.5,255
8.0,307
8.5,371
9.0,435
9.5,500
10.0,564
10.5,625
11.0,685
11.5,733
12.0,780
12.5,820
13.0,841
13.5,845
14.0,848
14.5,849
15.0,849
15.5,849
16.0,850
16.5,850
17.0,850
17.5,850
18.0,850
18.5,850
19.0,850
19.5,850
20.0,850
20.5,850
21.0,850
21.5,850
22.0,850
22.5,850
23.0,850
23.5,850
24.0,850
24.5,850
25.0,850
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
