Manufacturer,Vergnet
Model,GEV_MP_275-32_Vergnet
Capacity,275
Usage,Onshore
HubHeight,"55, 60"
Source,World Wind Farm 2023
RotorDiameter,32.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,3
4.5,10
5.0,18
5.5,27
6.0,36
6.5,47
7.0,58
7.5,78
8.0,98
8.5,119
9.0,141
9.5,164
10.0,189
10.5,215
11.0,243
11.5,262
12.0,275
12.5,275
13.0,275
13.5,275
14.0,275
14.5,275
15.0,275
15.5,275
16.0,275
16.5,275
17.0,275
17.5,275
18.0,275
18.5,275
19.0,275
19.5,275
20.0,275
20.5,275
21.0,275
21.5,275
22.0,275
22.5,275
23.0,275
23.5,275
24.0,275
24.5,275
25.0,275
25.5,275
26.0,275
26.5,275
27.0,275
27.5,275
28.0,275
28.5,275
29.0,275
29.5,275
30.0,275
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
