Manufacturer,Electria Wind
Model,Garbi_150-28_Electria_Wind
Capacity,150
Usage,Onshore
HubHeight,"34, 34"
Source,World Wind Farm 2023
RotorDiameter,28.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,5
3.5,7
4.0,10
4.5,15
5.0,19
5.5,27
6.0,34
6.5,44
7.0,55
7.5,68
8.0,80
8.5,94
9.0,108
9.5,124
10.0,140
10.5,150
11.0,150
11.5,150
12.0,150
12.5,150
13.0,150
13.5,150
14.0,150
14.5,150
15.0,150
15.5,150
16.0,150
16.5,150
17.0,150
17.5,150
18.0,150
18.5,150
19.0,150
19.5,150
20.0,150
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
