Manufacturer,AVIC Huide
Model,HD1000_AVIC_Huide
Capacity,1000
Usage,Onshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,55.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,11
4.0,22
4.5,46
5.0,70
5.5,100
6.0,130
6.5,176
7.0,222
7.5,280
8.0,348
8.5,417
9.0,487
9.5,558
10.0,630
10.5,705
11.0,780
11.5,831
12.0,883
12.5,925
13.0,961
13.5,987
14.0,1013
14.5,1035
15.0,1056
15.5,1061
16.0,1065
16.5,1063
17.0,1061
17.5,1060
18.0,1059
18.5,1052
19.0,1044
19.5,1040
20.0,1035
20.5,1028
21.0,1020
21.5,1015
22.0,1010
22.5,1006
23.0,1002
23.5,1001
24.0,1000
24.5,996
25.0,991
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
