Manufacturer,Hitachi
Model,HTW2.0-80_Hitachi
Capacity,2000
Usage,Onshore
HubHeight,"65, 78"
Source,World Wind Farm 2023
RotorDiameter,80.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,25
4.0,62
4.5,110
5.0,168
5.5,240
6.0,320
6.5,410
7.0,516
7.5,640
8.0,771
8.5,925
9.0,1083
9.5,1250
10.0,1417
10.5,1575
11.0,1727
11.5,1825
12.0,1913
12.5,1965
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
