Manufacturer,James Howden
Model,HWP-750_James_Howden
Capacity,750
Usage,Onshore
HubHeight,"35, 35"
Source,World Wind Farm 2023
RotorDiameter,45.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,0
5.5,17
6.0,37
6.5,57
7.0,85
7.5,110
8.0,138
8.5,173
9.0,216
9.5,275
10.0,345
10.5,462
11.0,579
11.5,650
12.0,699
12.5,725
13.0,742
13.5,750
14.0,750
14.5,750
15.0,750
15.5,750
16.0,750
16.5,750
17.0,750
17.5,750
18.0,750
18.5,750
19.0,750
19.5,750
20.0,750
20.5,750
21.0,750
21.5,750
22.0,750
22.5,750
23.0,750
23.5,750
24.0,750
24.5,750
25.0,750
25.5,750
26.0,750
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
