Manufacturer,Repower
Model,MM82_Evo_Repower
Capacity,2050
Usage,Onshore
HubHeight,"59, 100"
Source,World Wind Farm 2023
RotorDiameter,82.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,64
4.5,110
5.0,159
5.5,235
6.0,314
6.5,411
7.0,511
7.5,639
8.0,767
8.5,932
9.0,1096
9.5,1268
10.0,1439
10.5,1572
11.0,1700
11.5,1815
12.0,1912
12.5,1965
13.0,2000
13.5,2023
14.0,2040
14.5,2048
15.0,2050
15.5,2050
16.0,2050
16.5,2050
17.0,2050
17.5,2050
18.0,2050
18.5,2050
19.0,2050
19.5,2050
20.0,2050
20.5,2050
21.0,2050
21.5,2050
22.0,2050
22.5,2050
23.0,2050
23.5,2050
24.0,2050
24.5,2050
25.0,2050
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
