Manufacturer,Nordex
Model,N54-1000_Nordex
Capacity,1000
Usage,Onshore
HubHeight,"60, 70"
Source,World Wind Farm 2023
RotorDiameter,54.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,16
4.0,33
4.5,50
5.0,71
5.5,105
6.0,140
6.5,190
7.0,244
7.5,300
8.0,355
8.5,425
9.0,494
9.5,555
10.0,615
10.5,680
11.0,745
11.5,795
12.0,842
12.5,895
13.0,948
13.5,995
14.0,1041
14.5,1066
15.0,1090
15.5,1095
16.0,1090
16.5,1079
17.0,1067
17.5,1052
18.0,1036
18.5,1029
19.0,1022
19.5,1017
20.0,1012
20.5,1010
21.0,1008
21.5,1006
22.0,1003
22.5,999
23.0,994
23.5,992
24.0,989
24.5,983
25.0,976
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
