Manufacturer,Neg Micon
Model,NM48-600_Neg_Micon
Capacity,600
Usage,Onshore
HubHeight,"46, 70"
Source,World Wind Farm 2023
RotorDiameter,48.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,2
3.5,10
4.0,22
4.5,35
5.0,54
5.5,75
6.0,99
6.5,134
7.0,169
7.5,211
8.0,253
8.5,296
9.0,338
9.5,380
10.0,422
10.5,460
11.0,491
11.5,520
12.0,545
12.5,569
13.0,586
13.5,597
14.0,601
14.5,604
15.0,606
15.5,609
16.0,611
16.5,610
17.0,609
17.5,606
18.0,600
18.5,598
19.0,595
19.5,598
20.0,600
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
