Manufacturer,Suzlon
Model,S64-950_Suzlon
Capacity,950
Usage,Onshore
HubHeight,"56, 74"
Source,World Wind Farm 2023
RotorDiameter,64.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,20
4.0,45
4.5,67
5.0,89
5.5,120
6.0,159
6.5,215
7.0,273
7.5,355
8.0,436
8.5,508
9.0,580
9.5,656
10.0,731
10.5,795
11.0,849
11.5,885
12.0,909
12.5,930
13.0,940
13.5,950
14.0,950
14.5,950
15.0,950
15.5,950
16.0,950
16.5,950
17.0,950
17.5,950
18.0,950
18.5,950
19.0,950
19.5,950
20.0,950
20.5,950
21.0,950
21.5,950
22.0,950
22.5,950
23.0,950
23.5,950
24.0,950
24.5,950
25.0,950
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
