Manufacturer,S&G Engineering
Model,SG1700.80_S&G_Engineering
Capacity,1700
Usage,Onshore
HubHeight,"82, 82"
Source,World Wind Farm 2023
RotorDiameter,80.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,70
4.5,110
5.0,151
5.5,210
6.0,278
6.5,350
7.0,442
7.5,560
8.0,691
8.5,850
9.0,1002
9.5,1200
10.0,1362
10.5,1509
11.0,1603
11.5,1656
12.0,1689
12.5,1700
13.0,1700
13.5,1700
14.0,1700
14.5,1700
15.0,1700
15.5,1700
16.0,1700
16.5,1700
17.0,1700
17.5,1700
18.0,1700
18.5,1700
19.0,1700
19.5,1700
20.0,1700
20.5,1700
21.0,1700
21.5,1700
22.0,1700
22.5,1700
23.0,1700
23.5,1700
24.0,1700
24.5,1700
25.0,1700
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
