Manufacturer,Siemens
Model,SWT-6.0-154_Siemens
Capacity,6000
Usage,Offshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,154.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,100
4.0,220
4.5,320
5.0,440
5.5,575
6.0,721
6.5,945
7.0,1173
7.5,1485
8.0,1796
8.5,2157
9.0,2517
9.5,2940
10.0,3360
10.5,3930
11.0,4485
11.5,5160
12.0,5792
12.5,5960
13.0,6000
13.5,6000
14.0,6000
14.5,6000
15.0,6000
15.5,6000
16.0,6000
16.5,6000
17.0,6000
17.5,6000
18.0,6000
18.5,6000
19.0,6000
19.5,6000
20.0,6000
20.5,6000
21.0,6000
21.5,6000
22.0,6000
22.5,6000
23.0,6000
23.5,6000
24.0,6000
24.5,6000
25.0,6000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
