Manufacturer,Turbowinds
Model,T300-28_Turbowinds
Capacity,300
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,28.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,4
5.0,11
5.5,18
6.0,27
6.5,41
7.0,58
7.5,74
8.0,90
8.5,107
9.0,124
9.5,145
10.0,166
10.5,185
11.0,203
11.5,219
12.0,235
12.5,255
13.0,275
13.5,292
14.0,300
14.5,300
15.0,300
15.5,300
16.0,300
16.5,300
17.0,300
17.5,300
18.0,300
18.5,300
19.0,300
19.5,300
20.0,300
20.5,300
21.0,300
21.5,300
22.0,300
22.5,300
23.0,300
23.5,300
24.0,300
24.5,300
25.0,300
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
