Manufacturer,Vestas
Model,V112-3075_Vestas
Capacity,3075
Usage,Onshore
HubHeight,"84, 119"
Source,World Wind Farm 2023
RotorDiameter,112.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,11
3.0,26
3.5,77
4.0,133
4.5,216
5.0,302
5.5,426
6.0,554
6.5,731
7.0,907
7.5,1140
8.0,1375
8.5,1667
9.0,1958
9.5,2272
10.0,2585
10.5,2850
11.0,2997
11.5,3055
12.0,3067
12.5,3073
13.0,3075
13.5,3075
14.0,3075
14.5,3075
15.0,3075
15.5,3075
16.0,3075
16.5,3075
17.0,3075
17.5,3075
18.0,3075
18.5,3075
19.0,3075
19.5,3075
20.0,3075
20.5,3075
21.0,3075
21.5,3075
22.0,3075
22.5,3075
23.0,3075
23.5,3075
24.0,3075
24.5,3075
25.0,3075
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
