Manufacturer,Vestas
Model,V150-4000-4200_Vestas
Capacity,4000
Usage,Onshore
HubHeight,"105, 166"
Source,World Wind Farm 2023
RotorDiameter,150.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,78
3.5,172
4.0,287
4.5,426
5.0,601
5.5,814
6.0,1069
6.5,1367
7.0,1717
7.5,2110
8.0,2546
8.5,3002
9.0,3428
9.5,3773
10.0,4012
10.5,4131
11.0,4186
11.5,4198
12.0,4200
12.5,4200
13.0,4200
13.5,4200
14.0,4200
14.5,4200
15.0,4200
15.5,4200
16.0,4200
16.5,4200
17.0,4200
17.5,4200
18.0,4200
18.5,4200
19.0,4200
19.5,4200
20.0,4200
20.5,4200
21.0,4200
21.5,4200
22.0,4200
22.5,4200
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
