Manufacturer,Wind World
Model,W2320-150_Wind_World
Capacity,150
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,23.2
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,3
5.5,10
6.0,18
6.5,27
7.0,36
7.5,47
8.0,59
8.5,71
9.0,83
9.5,97
10.0,110
10.5,123
11.0,135
11.5,143
12.0,150
12.5,155
13.0,160
13.5,162
14.0,163
14.5,161
15.0,159
15.5,155
16.0,150
16.5,147
17.0,143
17.5,141
18.0,139
18.5,138
19.0,137
19.5,136
20.0,135
20.5,135
21.0,134
21.5,134
22.0,134
22.5,134
23.0,134
23.5,134
24.0,134
24.5,134
25.0,134
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
