Manufacturer,W2E
Model,W2E-185-6.0_W2E
Capacity,6000
Usage,Onshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,185.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,120
3.5,240
4.0,406
4.5,605
5.0,868
5.5,1190
6.0,1549
6.5,2010
7.0,2480
7.5,3035
8.0,3590
8.5,4170
9.0,4718
9.5,5130
10.0,5472
10.5,5690
11.0,5868
11.5,5960
12.0,5999
12.5,6000
13.0,6000
13.5,6000
14.0,6000
14.5,6000
15.0,6000
15.5,6000
16.0,6000
16.5,6000
17.0,6000
17.5,6000
18.0,6000
18.5,6000
19.0,6000
19.5,6000
20.0,6000
20.5,6000
21.0,6000
21.5,6000
22.0,6000
22.5,6000
23.0,6000
23.5,6000
24.0,6000
24.5,6000
25.0,6000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
