Manufacturer,WES
Model,WES250_WES
Capacity,250
Usage,Onshore
HubHeight,"30, 48"
Source,World Wind Farm 2023
RotorDiameter,30.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,1
3.5,2
4.0,4
4.5,9
5.0,15
5.5,22
6.0,29
6.5,42
7.0,56
7.5,66
8.0,77
8.5,96
9.0,116
9.5,131
10.0,145
10.5,162
11.0,179
11.5,201
12.0,222
12.5,240
13.0,250
13.5,250
14.0,250
14.5,250
15.0,250
15.5,250
16.0,250
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
