Manufacturer,WESPA
Model,WESPA_200-31_WESPA
Capacity,205
Usage,Onshore
HubHeight,"36, 50"
Source,World Wind Farm 2023
RotorDiameter,31.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,3
4.0,7
4.5,13
5.0,19
5.5,25
6.0,34
6.5,44
7.0,56
7.5,66
8.0,78
8.5,93
9.0,109
9.5,124
10.0,138
10.5,150
11.0,162
11.5,173
12.0,184
12.5,191
13.0,196
13.5,201
14.0,205
14.5,205
15.0,205
15.5,203
16.0,202
16.5,201
17.0,200
17.5,198
18.0,196
18.5,196
19.0,196
19.5,196
20.0,196
20.5,196
21.0,196
21.5,196
22.0,196
22.5,196
23.0,196
23.5,196
24.0,196
24.5,196
25.0,196
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
