Manufacturer,Windtec
Model,WT3000fc-91_Windtec
Capacity,3000
Usage,Onshore
HubHeight,"80, 90"
Source,World Wind Farm 2023
RotorDiameter,91.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,47
4.0,95
4.5,158
5.0,222
5.5,304
6.0,386
6.5,506
7.0,627
7.5,778
8.0,930
8.5,1120
9.0,1310
9.5,1544
10.0,1778
10.5,2041
11.0,2304
11.5,2535
12.0,2766
12.5,2930
13.0,3000
13.5,3000
14.0,3000
14.5,3000
15.0,3000
15.5,3000
16.0,3000
16.5,3000
17.0,3000
17.5,3000
18.0,3000
18.5,3000
19.0,3000
19.5,3000
20.0,3000
20.5,3000
21.0,3000
21.5,3000
22.0,3000
22.5,3000
23.0,3000
23.5,3000
24.0,3000
24.5,3000
25.0,3000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
