Manufacturer,Wind Technik Nord
Model,WTN500_Wind_Technik_Nord
Capacity,500
Usage,Onshore
HubHeight,"50, 65"
Source,World Wind Farm 2023
RotorDiameter,48.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,3
3.5,9
4.0,18
4.5,29
5.0,44
5.5,64
6.0,87
6.5,114
7.0,144
7.5,183
8.0,225
8.5,272
9.0,321
9.5,380
10.0,438
10.5,482
11.0,500
11.5,500
12.0,500
12.5,500
13.0,500
13.5,500
14.0,500
14.5,500
15.0,500
15.5,500
16.0,500
16.5,500
17.0,500
17.5,500
18.0,500
18.5,500
19.0,500
19.5,500
20.0,500
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
