Manufacturer,Fuhrländer Windtechnology LLC
Model,WTU2.0-100_Fuhrländer_Windtechnology_LLC
Capacity,2050
Usage,Onshore
HubHeight,"70, 100"
Source,World Wind Farm 2023
RotorDiameter,100.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,32
4.0,68
4.5,139
5.0,213
5.5,305
6.0,402
6.5,542
7.0,686
7.5,858
8.0,1032
8.5,1250
9.0,1468
9.5,1644
10.0,1820
10.5,1925
11.0,2009
11.5,2035
12.0,2047
12.5,2049
13.0,2050
13.5,2050
14.0,2050
14.5,2050
15.0,2050
15.5,2050
16.0,2050
16.5,2050
17.0,2050
17.5,2050
18.0,2050
18.5,2050
19.0,2050
19.5,2050
20.0,2050
20.5,2050
21.0,2050
21.5,2050
22.0,2050
22.5,2050
23.0,2050
23.5,2050
24.0,2050
24.5,2050
25.0,2050
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
